發生時間,發生地點,死亡受傷人數,車種,經度,緯度
107年02月19日 22時30分00秒,雲林縣斗南鎮延平路二段312049號路燈附近,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.476019,23.672192
107年02月20日 04時09分00秒,臺北市大安區市民大道4段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;普通重型-機車;普通重型-機車,121.552859,25.044306
107年02月20日 05時43分00秒,屏東縣長治鄉台24線新榮3-16號前,死亡1;受傷0,普通重型-機車,120.569581,22.707102
107年02月20日 10時16分00秒,新竹縣竹北市蓮花路75巷,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.959045,24.863834
107年02月20日 16時24分00秒,彰化縣二林鎮後厝里斗苑路3段321號前0.0公尺前,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小客車,120.400283,23.898076
107年02月21日 00時02分00秒,嘉義縣東石鄉下揖村嘉7線090669號路燈桿前,死亡1;受傷0,自用-小客車,120.203213,23.478021
107年02月21日 15時25分16秒,嘉義縣民雄鄉東榮村文化路與進興街旁,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.424912,23.547898
107年02月22日 09時30分24秒,嘉義縣太保市田尾里產業道路(溪南1之88號),死亡1;受傷0,普通重型-機車,120.344368,23.503723
107年02月22日 13時10分00秒,屏東縣東港鎮中正路3段650號,死亡1;受傷0,普通重型-機車,120.475066,22.488910
107年02月23日 06時00分00秒,臺東縣海端鄉東7 7公里700.0公尺處北向外側,死亡1;受傷0,普通重型-機車,121.183671,23.071258
107年02月23日 08時17分00秒,高雄市岡山區成功路口 / 高雄市岡山區岡山路口,死亡1;受傷0,普通重型-機車;營業用-大貨車,120.294535,22.799669
107年02月23日 16時00分00秒,臺中市東勢區下新里東蘭路78-6號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人;自用-小客車;自用-小客車,120.820093,24.274157
107年02月23日 18時34分00秒,彰化縣秀水鄉鶴鳴村彰鹿路150號前0.0公尺前,死亡1;受傷0,自用-小客車;行人-人,120.504277,24.050617
107年02月23日 23時59分18秒,桃園市大園區台61線 31公里600.0公尺處南向內側,死亡1;受傷0,大型重型1(550C.C.以上)-機車,121.178756,25.082410
107年02月24日 01時16分00秒,桃園市龜山區大湖路上警察大學後門附近,死亡1;受傷0,普通重型-機車,121.354221,25.047641
107年02月24日 04時45分20秒,南投縣中寮鄉內城村龍南路11-1號東側,死亡1;受傷0,自用-小貨車(含客、貨兩用);其他人-人,120.788462,23.945022
107年02月24日 12時20分00秒,雲林縣斗南鎮新崙里產業道路斗南鎮115573號燈桿處路口,死亡1;受傷1,自用-小客車;普通重型-機車,120.441682,23.675671
107年02月24日 12時44分59秒,桃園市復興區三民里11鄰水流東33號(O107020208三民所),死亡1;受傷0,自用-小客車;普通重型-機車;自用-小客車,121.331160,24.831699
107年02月24日 15時14分56秒,屏東縣新園鄉塩光路120-7號,死亡1;受傷1,普通重型-機車;乘客-人,120.442154,22.477400
107年02月24日 16時54分00秒,新北市五股區疏洪一路前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,121.458371,25.075385
107年02月24日 17時50分57秒,臺南市永康區永大路1段北側 / 臺南市永康區大灣東路,死亡1;受傷0,民營公車-大客車;普通重型-機車,120.258415,22.997879
107年02月25日 02時45分54秒,桃園市桃園區中山路219號,死亡1;受傷0,普通重型-機車;自用-小客車,121.307822,24.992844
107年02月25日 13時00分21秒,嘉義縣阿里山鄉十字村台18線80.3公里處,死亡1;受傷1,自用-小客車;乘客-人,120.782579,23.490291
107年02月25日 16時34分00秒,雲林縣元長鄉五塊村北水路29號旁路口,死亡1;受傷0,普通重型-機車;自用-小客車,120.286836,23.674894
107年02月26日 11時18分20秒,屏東縣內埔鄉東勢村大同路4段(龍泉高幹78號電桿),死亡1;受傷0,普通重型-機車,120.566320,22.615134
107年02月26日 17時00分00秒,臺中市清水區臨江里臨港路七段前0.0公尺,死亡1;受傷0,自用-小客車;普通輕型-機車,120.564523,24.297291
107年02月26日 18時29分10秒,苗栗縣通霄鎮坪頂里14鄰133-5號前,死亡1;受傷0,自用-小客車;行人-人,120.701406,24.456170
107年02月27日 04時52分00秒,臺中市北屯區平田里興安路一段前0.0公尺,死亡1;受傷2,自用-小貨車(含客、貨兩用);自用-小客車;普通重型-機車;自用-小客車;乘客-人,120.694614,24.174519
107年02月27日 05時15分00秒,高雄市燕巢區國道10號 14公里900.0公尺處東向內側,死亡1;受傷0,自用-小客車,120.382228,22.759615
107年02月27日 16時46分00秒,高雄市小港區村明聖街116號前0.0公尺前,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.346600,22.581850
107年02月27日 18時45分00秒,高雄市三民區陽明路口 / 高雄市三民區澄和路口,死亡1;受傷1,普通重型-機車;普通重型-機車,120.342512,22.644941
107年02月28日 05時53分00秒,臺北市萬華區西園路1段 / 臺北市萬華區和平西路3段,死亡1;受傷1,大型重型1(550C.C.以上)-機車;行人-人,121.499346,25.035301
107年02月28日 13時07分00秒,嘉義縣中埔鄉龍門村龍門24之20號,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.503737,23.420029
107年02月28日 16時10分00秒,嘉義縣朴子市永和里台82線東西向快速道路8.7公里附近,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.228577,23.453452
107年03月01日 07時20分00秒,臺南市仁德區中正路1段北側 / 臺南市仁德區二仁路1段,死亡1;受傷0,營業用-全聯結車;腳踏自行車-慢車,120.225807,22.918657
107年03月01日 18時36分00秒,桃園市桃園區富國路669號前0.0公尺西側,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.281436,25.021016
107年03月01日 20時40分31秒,彰化縣彰化市國道3號 203公里400.0公尺處北向中線,死亡1;受傷1,自用-小客車;自用-小客車;其他人-人;自用-小客車;自用-小客車,120.566336,24.105133
107年03月02日 14時05分00秒,花蓮縣壽豐鄉豐坪村豐坪路3段北側,死亡1;受傷0,自用-小貨車(含客、貨兩用),121.505970,23.829312
107年03月02日 15時39分28秒,新竹縣竹北市中正西路1458號,死亡1;受傷0,普通重型-機車;營業用-大貨車,120.967300,24.842414
107年03月02日 18時40分00秒,南投縣名間鄉大坑村4鄰南田路217號前0.0公尺西側,死亡1;受傷1,普通重型-機車;行人-人,120.648019,23.870760
107年03月03日 00時44分00秒,臺南市鹽水區後宅里南3線5公里100公尺處,死亡1;受傷0,普通重型-機車,120.254856,23.310497
107年03月03日 00時53分00秒,屏東縣萬丹鄉四維村丹榮路南側 / 屏東縣萬丹鄉四維村萬丹路2段,死亡1;受傷0,普通重型-機車,120.488383,22.602621
107年03月03日 06時04分00秒,桃園市大園區圳頭里1鄰後館1-12號,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.192691,25.081932
107年03月03日 06時30分30秒,雲林縣西螺鎮大新里大新路1-2號北側,死亡1;受傷0,自用-小客車,120.497662,23.791217
107年03月04日 07時30分00秒,臺中市北屯區舊社里北屯路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.700341,24.179296
107年03月04日 11時18分51秒,苗栗縣苑裡鎮玉豐5路與玉豐10路口,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人;乘客-人;乘客-人;乘客-人,120.677505,24.409826
107年03月04日 17時14分00秒,桃園市平鎮區南勢里快速路2段795號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,121.219801,24.924567
107年03月05日 05時40分00秒,桃園市楊梅區永美路東側 / 桃園市楊梅區萬大路,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,121.179388,24.910674
107年03月05日 05時54分00秒,新北市三重區重新路5段451號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,121.473932,25.047342
107年03月05日 11時20分50秒,桃園市中壢區龍岡里龍岡路三段與游泳路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.239713,24.930238
107年03月06日 08時14分22秒,臺南市善化區環西路二段(資源再生中心旁)路燈編號41-2-2附近,死亡1;受傷0,普通重型-機車,120.269640,23.120452
107年03月06日 12時54分19秒,南投縣埔里鎮中山路三段與水裡巷口,死亡1;受傷1,普通重型-機車;普通重型-機車,120.956805,23.969007
107年03月06日 15時14分34秒,苗栗縣通霄鎮國道3號 140公里800.0公尺處南向內側,死亡1;受傷0,自用-小貨車(含客、貨兩用);自用-大貨車;自用-大貨車,120.703651,24.489706
107年03月07日 07時33分00秒,新竹縣新埔鎮褒忠路283之57號前(往竹北方向),死亡1;受傷0,普通重型-機車,121.036391,24.844249
107年03月07日 09時00分00秒,嘉義市西區福安里世賢路2段 / 嘉義市西區福安里北港路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.422993,23.484149
107年03月07日 09時18分00秒,新北市八里區中華路 / 新北市八里區商港路,死亡1;受傷0,營業用-曳引車;普通重型-機車,121.405313,25.149446
107年03月07日 11時42分00秒,嘉義縣新港鄉南崙村崙子500號前路口,死亡1;受傷2,自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車;乘客-人;乘客-人;乘客-人,120.354055,23.587611
107年03月07日 14時52分19秒,臺南市將軍區將富里,死亡1;受傷0,普通重型-機車,120.135502,23.221368
107年03月07日 18時38分57秒,花蓮縣吉安鄉南海十街東側 / 花蓮縣吉安鄉海岸路,死亡1;受傷0,營業用-大貨車;腳踏自行車-慢車,121.586616,23.941994
107年03月08日 22時11分39秒,臺南市善化區溪美里台19甲線與南122線路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.287093,23.152968
107年03月09日 04時09分30秒,苗栗縣後龍鎮台六線與龍坑里6鄰埔仔頂48號旁產業道路口附近,死亡1;受傷0,營業用-大貨車;普通重型-機車,120.784769,24.598459
107年03月09日 07時13分00秒,嘉義縣太保市港尾里產業道路(電桿015760旁),死亡1;受傷0,普通重型-機車,120.362912,23.464054
107年03月09日 08時13分00秒,高雄市林園區溪州二路115巷林園幹12號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.400468,22.510761
107年03月09日 14時59分59秒,雲林縣北港鎮台19線 65公里北向內側,死亡1;受傷2,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車;乘客-人,120.301568,23.591273
107年03月09日 15時13分00秒,高雄市燕巢區中興路附近 / 高雄市燕巢區中興路附近,死亡1;受傷0,自用-大貨車;普通重型-機車,120.361746,22.792929
107年03月09日 18時46分00秒,基隆市仁愛區仁二路 / 基隆市仁愛區愛三路,死亡1;受傷0,行人-人;民營客運-大客車,121.743403,25.129483
107年03月09日 23時46分37秒,屏東縣潮州鎮台一線與彭城路口,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人,120.548731,22.539583
107年03月10日 01時42分00秒,臺中市中區中華里臺灣大道一段562號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.676519,24.145325
107年03月10日 04時39分00秒,彰化縣員林市三多里莒光路838號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,120.571264,23.971797
107年03月10日 05時30分23秒,南投縣埔里鎮中山路三段588號前0.0公尺東側,死亡1;受傷0,自用-小客車;行人-人,120.949874,23.970887
107年03月10日 07時20分52秒,嘉義縣梅山鄉梅北村健康街南側 / 嘉義縣梅山鄉梅北村新市路,死亡1;受傷1,普通重型-機車;普通重型-機車,120.559506,23.587360
107年03月10日 08時20分00秒,臺東縣臺東市臨海路1段南側 / 臺東縣臺東市馬亨亨大道,死亡1;受傷0,普通重型-機車;自用-小客車,121.162212,22.756011
107年03月10日 10時52分00秒,臺南市安平區怡平路364號前0.0公尺,死亡1;受傷2,自用-小客車;普通輕型-機車;普通重型-機車;乘客-人,120.177706,22.993336
107年03月10日 11時30分00秒,雲林縣西螺鎮國道1號 233公里400.0公尺處北向內側,死亡1;受傷1,自用-小客車;自用-小客車;乘客-人,120.467914,23.758785
107年03月10日 12時04分03秒,南投縣名間鄉新街村彰南路556號前0.0公尺,死亡1;受傷0,電動自行車-慢車;自用-小客車,120.692089,23.881649
107年03月10日 17時20分00秒,臺南市南區濱南路南側 / 臺南市南區商港路,死亡1;受傷0,自用-小客車;普通重型-機車,120.175384,22.941984
107年03月10日 23時14分00秒,臺南市永康區大灣路107號,死亡1;受傷0,普通輕型-機車;自用-小貨車(含客、貨兩用),120.269752,23.009983
107年03月11日 23時31分00秒,臺南市安定區港南里市道178線北側 / 臺南市安定區港南里國道8號旁道路,死亡1;受傷0,普通重型-機車;自用-小客車,120.225760,23.085364
107年03月12日 07時20分55秒,屏東縣崁頂鄉力社村南二高平面道路,死亡1;受傷0,普通重型-機車,120.499121,22.515843
107年03月12日 15時50分00秒,屏東縣長治鄉振興路16-11號前0.0公尺,死亡1;受傷0,普通重型-機車,120.580882,22.710179
107年03月12日 16時25分00秒,臺中市大雅區文雅里中清路三段前0.0公尺,死亡1;受傷0,營業用-大貨車;腳踏自行車-慢車,120.646564,24.222718
107年03月12日 17時19分52秒,屏東縣萬丹鄉新庄村萬順路1段北側 / 屏東縣萬丹鄉新庄村萬新路,死亡1;受傷0,普通重型-機車,120.486244,22.567042
107年03月12日 18時45分00秒,臺南市新化區東榮里中正路294號前0.0公尺東側,死亡1;受傷1,普通重型-機車;其他人-人,120.308552,23.031561
107年03月13日 08時32分00秒,苗栗縣頭屋鄉象山路、孔聖路口,死亡1;受傷0,普通重型-機車;營業用-小貨車(含客、貨兩用),120.864046,24.579919
107年03月13日 10時46分00秒,南投縣名間鄉濁水村員集路東側 / 南投縣名間鄉濁水村車站路東側,死亡1;受傷0,普通重型-機車;自用-小客車,120.704384,23.835658
107年03月14日 10時41分00秒,高雄市鳳山區鳳南路口 / 高雄市鳳山區善志街口,死亡1;受傷1,普通重型-機車;普通重型-機車,120.335462,22.601472
107年03月14日 15時25分14秒,高雄市旗津區旗津一路往過港隧道汽車道LB-23-5路燈處,死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車,120.304695,22.562876
107年03月14日 16時39分24秒,臺南市新化區復興路北側 / 臺南市新化區外環道路,死亡1;受傷0,營業用-半聯結車;普通重型-機車,120.313327,23.024798
107年03月15日 18時43分00秒,新北市八里區龍米路1段30巷前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,121.457425,25.116833
107年03月15日 18時51分00秒,新竹縣竹北市中正西路926巷口,死亡1;受傷0,自用-小客車;普通重型-機車,120.980725,24.840564
107年03月15日 19時30分00秒,雲林縣林內鄉國道3號 257公里500.0公尺處北向內側,死亡1;受傷0,其他人-人;自用-小貨車(含客、貨兩用);自用-小客車,120.605676,23.762712
107年03月16日 01時24分07秒,嘉義縣鹿草鄉重寮村中寮84之31號前,死亡2;受傷1,自用-小客車;普通重型-機車;乘客-人,120.313052,23.401874
107年03月16日 12時17分00秒,嘉義縣水上鄉三鎮村台1線275.6公里處,死亡2;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,120.387306,23.415769
107年03月16日 12時29分23秒,臺南市新營區國道1號 288公里南向交流道,死亡1;受傷0,營業用-半聯結車,120.296979,23.317340
107年03月17日 09時57分51秒,臺南市仁德區中正路3段189號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車,120.254185,22.976760
107年03月17日 18時51分27秒,新竹縣竹東鎮中豐路三段632號附近,死亡1;受傷0,普通重型-機車;營業用-大貨車,121.044977,24.774922
107年03月17日 21時54分00秒,彰化縣北斗鎮西安里中山路2段 / 彰化縣北斗鎮西安里中山路2段,死亡1;受傷0,自用-小客車;行人-人,120.519157,23.875760
107年03月18日 06時42分56秒,屏東縣潮州鎮江山路西外環道,死亡1;受傷0,自用-小客車;腳踏自行車-慢車;乘客-人,120.520626,22.549708
107年03月18日 15時35分00秒,彰化縣二林鎮廣興里溝頭巷前0.0公尺,死亡1;受傷4,自用-小客車;行人-人;行人-人;行人-人;自用-小貨車(含客、貨兩用);乘客-人,120.361748,23.870888
107年03月18日 15時37分24秒,南投縣中寮鄉縣139線 56公里900.0公尺處東側向內側,死亡1;受傷0,大型重型2(250-550C.C.)-機車,120.769727,23.867423
107年03月19日 01時34分00秒,嘉義縣民雄鄉西昌村竹仔腳1-5號對面,死亡1;受傷0,普通重型-機車,120.382914,23.546884
107年03月19日 08時30分34秒,屏東縣新園鄉仙吉村仙吉路段418號前0.0公尺,死亡1;受傷1,普通輕型-機車;營業用-小貨車(含客、貨兩用),120.466704,22.551649
107年03月19日 08時41分00秒,新北市新莊區思源路 / 新北市新莊區幸福路,死亡1;受傷2,自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車,121.460423,25.042322
107年03月19日 09時05分00秒,臺東縣臺東市民航路南側 / 臺東縣臺東市豐谷北路,死亡1;受傷0,自用-小客車;普通重型-機車,121.114802,22.753462
107年03月19日 15時55分57秒,花蓮縣壽豐鄉豐山村中山路東側 / 花蓮縣壽豐鄉豐山村中山路,死亡1;受傷6,自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人,121.494884,23.847838
107年03月20日 07時21分00秒,屏東縣鹽埔鄉維新路19-33號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車;自用-小客車,120.542521,22.727367
107年03月20日 11時27分00秒,高雄市三民區大豐一路口 / 高雄市三民區昌富街口,死亡1;受傷0,自用-小客車;普通重型-機車,120.331045,22.656972
107年03月20日 17時46分00秒,臺北市松山區健康路 / 臺北市松山區塔悠路,死亡1;受傷3,自用-小客車;自用-小客車;普通重型-機車;普通重型-機車;乘客-人;普通重型-機車,121.569686,25.054695
107年03月20日 20時35分00秒,臺中市霧峰區萬豐里中正路146巷前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.696517,24.024006
107年03月21日 16時02分00秒,雲林縣麥寮鄉台17線 77公里南側向路肩,死亡1;受傷0,自用-小客車;自用-小客車;自用-小客車;自用-小客車,120.265049,23.765908
107年03月22日 07時14分00秒,新北市新莊區思源路 / 新北市新莊區頭前路,死亡1;受傷0,自用-小客車;普通重型-機車,121.460423,25.042322
107年03月22日 10時45分11秒,雲林縣西螺鎮國道1號 229公里400.0公尺處南側向中線,死亡2;受傷2,營業用-半聯結車;自用-小客車;自用-大貨車;自用-半聯結車;乘客-人;乘客-人,120.476278,23.779515
107年03月22日 13時50分00秒,高雄市大樹區村溪埔路171-15號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.445347,22.729284
107年03月22日 14時00分00秒,新北市泰山區新五路1段119號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-半聯結車;自用-小客車,121.440773,25.062021
107年03月22日 14時47分00秒,臺南市左鎮區榮和里菜寮1號前,死亡1;受傷1,普通重型-機車;乘客-人,120.382170,23.065256
107年03月22日 17時21分00秒,臺北市大同區台北橋前0.0公尺,死亡1;受傷1,大型重型2(250-550C.C.)-機車;自用-小貨車(含客、貨兩用);計程車-小客車;乘客-人,121.507221,25.063430
107年03月22日 18時20分00秒,屏東縣麟洛鄉民生路與民族路口,死亡1;受傷1,普通重型-機車;普通重型-機車,120.528553,22.652849
107年03月22日 18時51分00秒,花蓮縣吉安鄉光華村光華六街口 / 花蓮縣吉安鄉光華村華城二街口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.566159,23.926141
107年03月23日 13時25分42秒,南投縣埔里鎮大城里大城路132號東側,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.953287,23.971776
107年03月23日 15時27分15秒,桃園市桃園區復興路331號前0.0公尺北側,死亡1;受傷1,行人-人;普通重型-機車;自用-小客車;計程車-小客車,121.304846,24.989486
107年03月23日 16時59分00秒,新北市中和區中山路 / 新北市中和區中正路,死亡1;受傷0,營業用-大貨車;普通重型-機車,121.492562,25.002934
107年03月24日 00時08分00秒,高雄市仁武區村八德一路133號前0.0公尺,死亡1;受傷0,普通重型-機車,120.339012,22.688008
107年03月24日 09時53分00秒,花蓮縣壽豐鄉溪口村中正路,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.489373,23.817886
107年03月25日 05時00分00秒,屏東縣枋山鄉竹坑村,死亡1;受傷2,自用-小客車;乘客-人;乘客-人,120.700191,22.143554
107年03月25日 12時57分00秒,臺北市北投區大度路3段 / 臺北市北投區大度路3段,死亡1;受傷3,租賃車-小客車;普通重型-機車;普通重型-機車;乘客-人;乘客-人,121.470755,25.122625
107年03月25日 16時06分58秒,嘉義縣新港鄉縣166線 26公里540.0公尺處西側,死亡1;受傷0,普通重型-機車;自用-小客車,120.359182,23.523973
107年03月26日 04時30分00秒,雲林縣東勢鄉縣153線 6公里500.0公尺處南側向內側,死亡1;受傷1,自用-小客車;乘客-人,120.253362,23.685207
107年03月26日 13時20分00秒,高雄市鳳山區村南華一路 / 高雄市鳳山區臨海路,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.341419,22.598238
107年03月26日 15時10分00秒,屏東縣屏東市忠孝路舊航空站出口處,死亡1;受傷0,普通重型-機車;自用-小客車,120.491289,22.706016
107年03月26日 15時30分41秒,屏東縣內埔鄉中正路永豐路,死亡1;受傷0,營業用-大貨車;普通重型-機車,120.523664,22.626593
107年03月26日 17時50分00秒,彰化縣秀水鄉鶴鳴村馬鳴路 / 彰化縣秀水鄉鶴鳴村馬鳴路,死亡1;受傷0,普通重型-機車;自用-小客車,120.498230,24.058371
107年03月26日 18時14分00秒,新北市萬里區舊臺二線道路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,121.691234,25.203859
107年03月26日 18時50分16秒,花蓮縣光復鄉大進街西側,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.422697,23.655750
107年03月27日 02時06分00秒,屏東縣九如鄉耆老村九如路3段西側 / 屏東縣九如鄉耆老村三民路西側,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,120.491001,22.748906
107年03月27日 08時15分01秒,臺南市歸仁區八甲里中正北路1段西側 / 臺南市歸仁區八甲里大德路西側,死亡1;受傷0,自用-大貨車;普通輕型-機車,120.295604,22.972911
107年03月27日 14時00分34秒,花蓮縣吉安鄉吉豐路西側 / 花蓮縣吉安鄉吉豐路口,死亡1;受傷0,普通重型-機車;自用-小客車,121.551422,23.946263
107年03月28日 02時52分00秒,臺北市中山區南京東路2段 / 臺北市中山區松江路,死亡1;受傷0,計程車-小客車;普通重型-機車,121.533259,25.052121
107年03月28日 06時20分58秒,臺南市仁德區新田里義林南路口 / 臺南市仁德區新田里新田一街附近,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車,120.261690,22.950260
107年03月28日 06時43分00秒,高雄市大樹區村中正一路238-9號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.433984,22.686799
107年03月28日 11時25分00秒,高雄市岡山區岡燕路 / 高雄市岡山區聖森路,死亡1;受傷1,營業用-大貨車;普通重型-機車;乘客-人,120.312367,22.790328
107年03月28日 16時10分00秒,臺東縣東河鄉台11線 147公里700.0公尺處南側向中內,死亡1;受傷5,自用-小客車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人;乘客-人;乘客-人,121.206879,22.864620
107年03月28日 18時44分53秒,臺東縣關山鎮台9線 330公里100.0公尺處,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.174232,23.074720
107年03月29日 07時49分00秒,彰化縣溪湖鎮湖東里員鹿路2段 / 彰化縣溪湖鎮湖東里東環路,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車,120.498045,23.940027
107年03月29日 13時50分03秒,臺南市東山區縣165線 18公里600.0公尺處東側向中線,死亡1;受傷1,自用-小客車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用),120.402026,23.315105
107年03月30日 01時30分00秒,宜蘭縣南澳鄉台9線 129公里100.0公尺處南側向外側,死亡2;受傷0,營業用-曳引車;乘客-人,121.811646,24.470342
107年03月30日 05時20分00秒,高雄市六龜區台二十七甲路5段柴頭溪橋號前0.0公尺前,死亡1;受傷0,自用-小客車,120.641324,22.969064
107年03月30日 10時00分00秒,屏東縣長治鄉下厝街口 / 屏東縣長治鄉中興路口,死亡1;受傷2,普通重型-機車;自用-小客車;乘客-人,120.524669,22.687830
107年03月30日 15時20分00秒,高雄市小港區大業南路 / 高雄市小港區上林街,死亡1;受傷0,營業用-曳引車;營業用-全聯結車,120.368521,22.532654
107年03月31日 02時55分00秒,臺南市仁德區台86線 3公里300.0公尺處西側向內側,死亡1;受傷0,大型重型1(550C.C.以上)-機車,120.203660,22.927792
107年03月31日 03時38分00秒,臺中市北屯區和平里東山路一段308號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.721200,24.176000
107年03月31日 13時39分00秒,彰化縣田中鎮三安里員集路1段337號前0.0公尺前,死亡1;受傷2,自用-小客車;乘客-人;乘客-人,120.596410,23.843107
107年04月01日 10時30分49秒,南投縣埔里鎮北梅里西安路一段506號前15.0公尺東側,死亡1;受傷1,普通重型-機車;普通重型-機車,120.971472,23.980725
107年04月01日 16時10分00秒,新竹縣新埔鎮照門里7鄰3-2號,死亡1;受傷2,自用-小客車;遊覽車-大客車;乘客-人;乘客-人,121.078053,24.828014
107年04月01日 22時35分04秒,彰化縣埤頭鄉國道1號 218公里300.0公尺處北側向外側,死亡1;受傷3,自用-大貨車;自用-小客車;營業用-半聯結車;自用-小客車;自用-小客車;乘客-人;乘客-人,120.490437,23.875824
107年04月02日 08時03分00秒,新北市五股區疏洪一路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,121.458371,25.075385
107年04月02日 10時16分00秒,高雄市阿蓮區中正路 / 高雄市阿蓮區和平路,死亡1;受傷0,營業用-半聯結車;腳踏自行車-慢車,120.332385,22.880700
107年04月02日 12時30分00秒,新北市中和區民樂路 / 新北市中和區新生街,死亡1;受傷0,普通重型-機車;自用-小客車;乘客-人,121.482970,25.001529
107年04月02日 15時37分34秒,桃園市大園區桃園國際機場航勤北路與華儲進口倉路口處前,死亡1;受傷0,營業用-大貨車;普通重型-機車,121.244205,25.088795
107年04月02日 22時20分05秒,花蓮縣吉安鄉吉豐路三段,死亡1;受傷1,普通重型-機車;電動輔助自行車-慢車,121.553431,23.947599
107年04月03日 04時24分00秒,臺中市清水區海濱里港埠路四段前0.0公尺,死亡1;受傷1,自用-小客車;營業用-半聯結車;乘客-人,120.549108,24.281649
107年04月03日 08時30分50秒,花蓮縣新城鄉康樂村康樂路北側 / 花蓮縣新城鄉康樂村康樂三街口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車,121.605210,24.051465
107年04月03日 11時41分10秒,宜蘭縣南澳鄉台9線 139公里400.0公尺處北側,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.774905,24.367602
107年04月03日 16時48分00秒,雲林縣西螺鎮河南里埔心路81號,死亡1;受傷0,腳踏自行車-慢車;營業用-曳引車,120.443421,23.798455
107年04月03日 20時21分00秒,南投縣名間鄉赤水村南田路259-8號北側,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.630662,23.859062
107年04月04日 10時22分00秒,新北市汐止區大同路1段 / 新北市汐止區新台五路,死亡1;受傷0,營業用-大貨車;普通重型-機車,121.633838,25.057350
107年04月04日 10時43分00秒,新北市石門區台二線道路前0.0公尺,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,121.567138,25.290828
107年04月04日 13時29分00秒,臺南市新營區開元路東側 / 臺南市新營區東山五路,死亡1;受傷2,自用-小客車;普通重型-機車;乘客-人,120.332184,23.316887
107年04月04日 13時30分50秒,宜蘭縣蘇澳鎮台2線166.7公里處(蘇港路北上車道),死亡1;受傷0,自用-小貨車(含客、貨兩用),121.855386,24.594294
