發生時間,發生地點,死亡受傷人數,車種,經度,緯度
107年05月08日 04時59分21秒,桃園市桃園區南門里漢中路118號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人;普通重型-機車,121.304000,24.981080
107年05月08日 05時26分00秒,新北市板橋區漢生東路 / 新北市板橋區漢生東路,死亡1;受傷0,行人-人;自用-小客車,121.472460,25.011674
107年05月08日 05時26分00秒,臺北市中正區泉州街32號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車,121.513500,25.025882
107年05月08日 06時20分00秒,臺南市南區永成路二段627-3號對面,死亡1;受傷0,普通重型-機車,120.195691,22.951557
107年05月08日 14時20分00秒,澎湖縣湖西鄉澎12號道2.4公里處,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),119.617594,23.591318
107年05月08日 18時27分00秒,新竹縣湖口鄉德興路138號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,121.044811,24.908821
107年05月09日 06時25分00秒,高雄市林園區村漁港路 / 高雄市林園區力行路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.400430,22.485786
107年05月09日 08時42分33秒,宜蘭縣大同鄉台7甲線 22公里600.0公尺處,死亡1;受傷0,普通重型-機車;營業用-全聯結車,121.491175,24.577317
107年05月09日 14時15分00秒,臺中市西屯區西安里逄甲路262號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.639488,24.174663
107年05月09日 19時36分00秒,臺中市梧棲區南簡里大智路一段983號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車,120.542188,24.256813
107年05月10日 00時13分26秒,桃園市龜山區國道1號 42公里800.0公尺處北側向外側,死亡1;受傷0,自用-小貨車(含客、貨兩用);營業用-半聯結車,121.355026,25.064302
107年05月10日 01時15分00秒,彰化縣二林鎮後厝里斗苑路3段 / 彰化縣二林鎮後厝里斗苑路3段,死亡1;受傷0,普通重型-機車,120.398456,23.898035
107年05月10日 07時33分40秒,宜蘭縣宜蘭市光復路8號前0.0公尺附近,死亡1;受傷0,普通重型-機車,121.757324,24.754763
107年05月11日 08時44分23秒,新竹縣竹東鎮北興路1段485號前0.0公尺南側,死亡1;受傷0,自用-大貨車;普通重型-機車,121.097698,24.734433
107年05月11日 11時36分35秒,嘉義縣新港鄉潭大村潭子墘25-30號,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.331022,23.540063
107年05月12日 08時16分00秒,嘉義縣大埔鄉台3線 343公里721.0公尺處北側向路肩,死亡1;受傷0,大型重型1(550C.C.以上)-機車,120.589071,23.278817
107年05月12日 11時20分00秒,高雄市大寮區光明路3段 / 高雄市大寮區光明路3段,死亡1;受傷0,自用-小客車;普通重型-機車,120.405101,22.633167
107年05月12日 23時50分00秒,臺南市南化區台20線 42公里400.0公尺處東側向路肩,死亡2;受傷0,普通重型-機車;乘客-人,120.493374,23.076511
107年05月13日 01時01分00秒,新竹縣新豐鄉中崙村1鄰中崙路17-1號前0.0公尺北側,死亡1;受傷0,普通重型-機車,120.993810,24.904320
107年05月13日 21時09分00秒,臺北市大安區前,死亡1;受傷0,自用-小客車;行人-人,121.552553,25.034300
107年05月13日 21時19分00秒,桃園市中壢區仁美里榮民南路東側 / 桃園市中壢區仁美里普忠路口,死亡1;受傷0,行人-人;自用-小客車,121.256915,24.949619
107年05月14日 06時35分00秒,臺中市西區民龍里臺灣大道二段220號前0.0公尺,死亡1;受傷0,普通重型-機車,120.668750,24.152515
107年05月14日 10時04分04秒,臺南市新營區國道1號 294公里700.0公尺處北側向外側,死亡1;受傷0,普通重型-機車,120.286214,23.300949
107年05月14日 13時14分38秒,雲林縣水林鄉車港村產業道路交叉路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.253119,23.607525
